NAME,DATA_TYPE,CATDESC,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,VAR_TYPE,RECORD_VARYING,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTR_1,LABL_PTR_2,LABL_PTR_3,UNIT_PTR,SCALE_TYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
intensity_by_pitch_angle_and_gyrophase,CDF_REAL4,Intensity by pitch angle and gyrophase,epoch,energy,pitch_angle,gyrophase,data,RV,spectrogram,"PRIMARY_VAR,SUMMARY",Electron Intensity,F15.3,e- intensity,cm^-2 sr^-1 s^-1 eV^-1,0,10000000000,-1.00E+31,energy_label,pitch_angle_label,gyrophase_label,,linear,,,,,,,,,intensity_uncertainty_by_pitch_angle_and_gyrophase,intensity_uncertainty_by_pitch_angle_and_gyrophase,,,,,,,,,
intensity_uncertainty_by_pitch_angle,CDF_REAL4,Uncertainty of Intensity by pitch angle,epoch,energy,pitch_angle,,data,RV,spectrogram,"PRIMARY_VAR,SUMMARY",Electron Intensity Uncertainty,F15.3,e- intensity unc.,cm^-2 sr^-1 s^-1 eV^-1,0,10000000000,-1.00E+31,energy_label,pitch_angle_label,,,linear,,,,,,,,,,,,,,,,,,,
intensity_uncertainty_by_pitch_angle_and_gyrophase,CDF_REAL4,Uncertainty of Intensity by pitch angle and gyrophase,epoch,energy,pitch_angle,gyrophase,data,RV,spectrogram,"PRIMARY_VAR,SUMMARY",Electron Intensity Uncertainty,F15.3,e- intensity unc.,cm^-2 sr^-1 s^-1 eV^-1,0,10000000000,-1.00E+31,energy_label,pitch_angle_label,gyrophase_label,,linear,,,,,,,,,,,,,,,,,,,
phase_space_density_by_pitch_angle_and_gyrophase,CDF_REAL4,Phase space density by pitch angle and gyrophase,epoch,energy,pitch_angle,gyrophase,data,RV,spectrogram,"PRIMARY_VAR,SUMMARY",Electron Phase Space Density ,F15.3,e- PSD,s^3 cm^-6,0,10000000000,-1.00E+31,energy_label,pitch_angle_label,gyrophase_label,,log,,,,,,,,,,,,,,,,,,,1e12>s^3 m^-6
phase_space_density_by_pitch_angle,CDF_REAL4,Phase space density by pitch angle,epoch,energy,pitch_angle,,data,RV,spectrogram,"PRIMARY_VAR,SUMMARY",Electron Phase Space Density ,F15.3,e- PSD,s^3 cm^-6,0,10000000000,-1.00E+31,energy_label,pitch_angle_label,,,log,,,,,,,,,,,,,,,,,,,1e12>s^3 m^-6
intensity,CDF_REAL4,Electon Intensity,epoch,energy,,,data,RV,spectrogram,"PRIMARY_VAR,SUMMARY",Electron Intensity,F15.3,e- Intensity,cm^-2 sr^-1 s^-1 eV^-1,0,10000000000,-1.00E+31,energy_label,,,,log,,,,,,,,,,,,,,,,,,,6.241509e22>m^-2 radian^-2 s^-1 J^-1
intensity_inward,CDF_REAL4,Electron Intensity (Inward),epoch,energy,,,data,RV,spectrogram,"PRIMARY_VAR,SUMMARY",Electron Intensity,F15.3,e- Intensity,cm^-2 sr^-1 s^-1 eV^-1,0,10000000000,-1.00E+31,energy_label,,,,log,,,,,,,,,,,,,,,,,,,6.241509e22>m^-2 radian^-2 s^-1 J^-1
intensity_outward,CDF_REAL4,Electron Intensity (Outward),epoch,energy,,,data,RV,spectrogram,"PRIMARY_VAR,SUMMARY",Electon Intensity,F15.3,e- Intensity,cm^-2 sr^-1 s^-1 eV^-1,0,10000000000,-1.00E+31,energy_label,,,,log,,,,,,,,,,,,,,,,,,,6.241509e22>m^-2 radian^-2 s^-1 J^-1
spacecraft_potential,CDF_REAL4,IMAP Spacecraft potential,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Spacecraft Potential,F9.3,Potential,V,0,100,-1.00E+31,,,,,linear,,,,,,,,,,,,,,0,20,,,,
core_halo_breakpoint,CDF_REAL4,SW Electron Core/Halo breakpoint,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Core/Halo Breakpoint,F9.3,Core/Halo Break,eV,15,200,-1.00E+31,,,,,linear,,,,,,,,,,,,,,15,100,,,,1.602176634e-19>joules
