TOF Bit,E/n (MeV/n),E/n Lower (MeV/n),E/n Upper (MeV/n)
120,1967.012768,1861.313464,2078.714469
121,2196.759428,2078.714469,2321.507864
122,2453.340449,2321.507864,2592.659474
123,2739.890076,2592.659474,2895.481533
124,3059.908637,2895.481533,3233.673142
125,3417.305295,3233.673142,3611.365456
126,3816.445805,3611.365456,4033.172151
127,4262.20584,4033.172151,4504.245775
128,0.003441666341,0.003256725123,0.003637109904
129,0.003843652216,0.003637109904,0.004061923545
130,0.004292589953,0.004061923545,0.004536355325
131,0.004793963519,0.004536355325,0.005066200634
132,0.005353897409,0.005066200634,0.005657931758
133,0.005979231453,0.005657931758,0.006318776949
134,0.006677604378,0.006318776949,0.007056808713
135,0.007457547107,0.007056808713,0.007881042425
136,0.008328586976,0.007881042425,0.008801546454
137,0.009301364111,0.008801546454,0.009829565153
138,0.0103877614,0.009829565153,0.01097765621
139,0.01160104966,0.01097765621,0.01225984405
140,0.01295604972,0.01225984405,0.01369179115
141,0.01446931349,0.01369179115,0.01529098936
142,0.01615932614,0.01529098936,0.01707697357
143,0.01804673189,0.01707697357,0.01907156034
144,0.02015458622,0.01907156034,0.02129911441
145,0.02250863748,0.02129911441,0.02378684631
146,0.02513764141,0.02378684631,0.02656514475
147,0.02807371242,0.02656514475,0.02966794784
148,0.03135271588,0.02966794784,0.03313315765
149,0.03501470623,0.03313315765,0.03700310321
150,0.03910441625,0.03700310321,0.04132505756
151,0.04367180351,0.04132505756,0.04615181524
152,0.04877266059,0.04615181524,0.05154233715
153,0.05446929667,0.05154233715,0.05756247084
154,0.06083129859,0.05756247084,0.06428575483
155,0.06793638094,0.06428575483,0.07179431692
156,0.07587133536,0.07179431692,0.08017987741
157,0.08473309072,0.08017987741,0.08954486954
158,0.09462989716,0.08954486954,0.1000036907
159,0.1056826484,0.1000036907,0.1116840999
160,0.1180263586,0.1116840999,0.1247287783
161,0.1318118115,0.1247287783,0.1392970723
162,0.1472074022,0.1392970723,0.1555669398
163,0.1644011945,0.1555669398,0.1737371243
164,0.183603218,0.1737371243,0.1940295824
165,0.2050480337,0.1940295824,0.2166921951
166,0.2289975991,0.2166921951,0.242001796
167,0.2557444685,0.242001796,0.2702675528
168,0.2856153665,0.2702675528,0.3018347438
169,0.3189751787,0.3018347438,0.3370889758
170,0.3562314097,0.3370889758,0.3764608943
171,0.3978391604,0.3764608943,0.4204314443
172,0.4443066872,0.4204314443,0.469537745
173,0.496201611,0.469537745,0.5243796507
174,0.5541578505,0.5243796507,0.5856270791
175,0.618883366,0.5856270791,0.6540281937
176,0.6911688077,0.6540281937,0.7304185435
177,0.771897173,0.7304185435,0.8157312695
178,0.8620545938,0.8157312695,0.9110085031
179,0.9627423816,0.9110085031,1.017414097
180,1.075190481,1.017414097,1.13624784
181,1.200772494,1.13624784,1.268961339
182,1.341022458,1.268961339,1.417175746
183,1.497653587,1.417175746,1.582701563
184,1.672579198,1.582701563,1.767560759
185,1.867936083,1.767560759,1.974011468
186,2.086110608,1.974011468,2.204575575
187,2.32976787,2.204575575,2.46206952
188,2.601884247,2.46206952,2.749638701
189,2.905783757,2.749638701,3.070795899
190,3.245178664,3.070795899,3.429464187
191,3.624214821,3.429464187,3.830024853
192,4.047522319,3.830024853,4.277370917
193,4.520272039,4.277370917,4.776966904
194,5.048238823,4.776966904,5.334915592
195,5.637872012,5.334915592,5.958032565
196,6.296374229,5.958032565,6.653929464
197,7.03178936,6.653929464,7.431106968
198,7.853100817,7.431106968,8.299058635
199,8.770341273,8.299058635,9.268386866
200,9.794715213,9.268386866,10.35093242
201,10.93873581,10.35093242,11.55991906
202,12.21637775,11.55991906,12.91011508
203,13.643248,12.91011508,14.41801369
204,15.23677638,14.41801369,16.10203453
205,17.01642852,16.10203453,17.98274864
206,19.00394365,17.98274864,20.08312974
207,21.2236001,20.08312974,22.4288349
208,23.70251195,22.4288349,25.0485179
209,26.47096015,25.0485179,27.97417931
210,29.5627625,27.97417931,31.24155733
211,33.01568668,31.24155733,34.89056438
212,36.87191166,34.89056438,38.96577466
213,41.17854287,38.96577466,43.51696861
214,45.98818766,43.51696861,48.59974101
